split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
val,OrSa,OrSa,4,60000,1.9152,14364,14.456727996468544,4150.316725517466,1.7414177445049432,1883453,9.499762735009426,910812.6425213729,1.5988975955008449,8646543,10,0.17378225549505677,109.9793548126765,119.78253050033985
val,DrMe,DrMe,5,60000,1.9306666666666668,14480,14.974955283105373,4006.6897607161154,1.892991376236447,1522979,8.009468386997469,803584.5438192419,1.8597292245785606,7481093,10,0.03767529043021978,101.99025156179655,103.81439626535855
val,EnIn,EnIn,6,60000,1.9390666666666667,14543,14.699082754552364,4081.8873532375865,1.7358410958416413,1145789,6.425754181022057,821789.4508936979,1.5667528573458096,5170889,9,0.20322557082502546,111.70761375058294,123.76340388180833
val,ScPo,ScPo,7,60000,1.9641333333333333,14731,15.089796774089336,3976.1966909339626,1.9450261472913228,517968,3.7186722819751594,572900.9814407278,1.8917959793112287,2518963,8,0.01910718604201045,100.98236139748657,103.82373970624683
val,WaMe,WaMe,8,60000,1.9690666666666667,14768,14.381173245608807,4172.121354446557,1.9493002844354432,445631,1.1518566309823655,1587772.254642687,,,,0.01976638223122351,101.01402448812284,
val,PlFa,PlFa,9,60000,1.8465333333333334,13849,14.543930247426033,4125.432326699912,1.796426055809078,403599,3.4287919639900792,524191.0325490953,1.7142874946921633,1925726,7,0.050107277524255256,102.78927581584692,107.7143325755239
val,EsCo,EsCo,10,60000,1.9577333333333333,14683,15.689310781657696,3824.25976736631,1.9254273803496602,223429,0.7748405059974175,1198091.727025812,1.893381063466197,1098552,6,0.032305952983673114,101.67785881271753,103.39880181062586
val,HaHi,HaHi,11,60000,1.8766666666666667,14075,15.326064079999924,3914.899460605694,1.86373025227474,181248,0.698526533000404,1113774.44269472,1.8567194643708684,902831,5,0.01293641439192661,100.69411409597163,101.07432504902172
val,HePy,HePy,12,60000,1.9129333333333334,14347,14.233422212302685,4215.430351538289,1.8317988997646635,76378,0.45400103999418207,734722.9865470673,1.801057065339589,375481,4,0.0811344335686699,104.42922165632338,106.2117003479093
val,AeCa,AeCa,13,60000,1.9616,14712,14.349911622703075,4181.210419796152,1.9191411933666238,76336,0.5047164960124064,630470.7742149527,1.9112673462602345,380115,5,0.0424588066333762,102.21238576818277,102.63347008142274
val,YeMi,YeMi,14,14737,1.8348374838841013,3380,3.8205150216817856,3857.3333480868746,1.86795141480627,3441,0.058460233005462214,252085.89227865468,1.8236643189621247,16798,3,-0.03311393092216863,98.2272595175821,100.6126766206807
val,AgPh,AgPh,15,8794,1.9558790084148283,2150,2.4922530129551888,3528.5342035046897,1.996816010916534,2195,0.03448306498466991,255023.73422749797,1.94823743461451,10708,2,-0.04093700250170573,97.9498861047836,100.39223010833022
