species,source_name,mode,geco2_level,geco2_binary,geco2_command,geco2_returncode,sample_bytes,sample_bases,sample_symbols_with_eos,uses_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,compression_process_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,split
OrSa,OrSa,geco2_paper_modes,10,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_h5pvjwa_/test_1_OrSa.seq""]",0,8652506,8652506,8652506,False,15161992.0,1.7523237776431475,1895249,1.7523237776431475,9.705336028011516,891520.4970778095,891520.4970778095,891520.4970778095,8652506,2163127,2385837,2326620,2047132,test
HoSa,HoSa,geco2_paper_modes,12,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""12"", ""/tmp/geco2_baseline_44849x94/test_2_HoSa.seq""]",0,37950534,37950534,37950534,False,64618936.0,1.7027148023793288,8077367,1.7027148023793288,41.8127558559936,907630.5357796699,907630.5357796699,907630.5357796699,37950534,9487634,10291088,9876176,8831964,test
DaRe,DaRe,geco2_paper_modes,10,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_gn3sixly/test_3_DaRe.seq""]",0,12513004,12513004,12513004,False,18809568.0,1.5032016292810264,2351196,1.5032016292810264,13.154905149014667,951204.4258971532,951204.4258971532,951204.4258971532,12513004,3128251,3285922,3188813,2550480,test
ScPo,ScPo,geco2_paper_modes,8,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""8"", ""/tmp/geco2_baseline_o1w365zu/test_4_ScPo.seq""]",0,2130431,2130431,2130431,False,3972224.0,1.8645166165907274,496528,1.8645166165907274,3.6828264860087074,578477.1582624495,578477.1582624495,578477.1582624495,2130431,532608,590438,575726,546564,test
EsCo,EsCo,geco2_paper_modes,6,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""6"", ""/tmp/geco2_baseline_pvhukinq/test_5_EsCo.seq""]",0,928331,928331,928331,False,1765312.0,1.9015975982704445,220664,1.9015975982704445,0.7765087230072822,1195519.087544486,1195519.087544486,1195519.087544486,928331,232083,260981,249231,240580,test
YeMi,YeMi,geco2_paper_modes,3,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""3"", ""/tmp/geco2_baseline_yyzhj7hc/test_6_YeMi.seq""]",0,14739,14739,14739,False,27384.0,1.8579279462650111,3423,1.8579279462650111,0.05844123201677576,252202.07533901953,252202.07533901953,252202.07533901953,14739,3685,4285,3974,4104,test
BuEb,BuEb,geco2_paper_modes,1,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""1"", ""/tmp/geco2_baseline_3s2kb2k0/test_7_BuEb.seq""]",0,3788,3788,3788,False,7776.0,2.0527983104540657,972,2.0527983104540657,0.02759316097944975,137280.39360264473,137280.39360264473,137280.39360264473,3788,947,1244,1114,1300,test
AgPh,AgPh,geco2_paper_modes,2,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""2"", ""/tmp/geco2_baseline_b7kn9hl_/test_8_AgPh.seq""]",0,8794,8794,8794,False,17632.0,2.005003411416875,2204,2.005003411416875,0.034137990995077416,257601.56774509858,257601.56774509858,257601.56774509858,8794,2199,2758,2486,2684,test
GaGa,GaGa,geco2_paper_modes,11,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""11"", ""/tmp/geco2_baseline_2ld0he0g/test_9_GaGa.seq""]",0,29706460,29706460,29706460,False,53793824.0,1.8108459910739954,6724228,1.8108459910739954,29.69581701399875,1000358.400174551,1000358.400174551,1000358.400174551,29706460,7426615,8085277,7897091,7251712,test
DrMe,DrMe,geco2_paper_modes,10,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_strle2wf/test_10_DrMe.seq""]",0,6436287,6436287,6436287,False,12203832.0,1.8960981696434607,1525479,1.8960981696434607,7.856882160005625,819190.9804582575,819190.9804582575,819190.9804582575,6436287,1609072,1787449,1738150,1633836,test
EnIn,EnIn,geco2_paper_modes,9,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""9"", ""/tmp/geco2_baseline__w3flnz3/test_11_EnIn.seq""]",0,5280618,5280618,5280618,False,9303208.0,1.7617650055353369,1162901,1.7617650055353369,6.666002901998581,792171.5723251157,792171.5723251157,792171.5723251157,5280618,1320155,1463754,1421271,1285744,test
PlFa,PlFa,geco2_paper_modes,7,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""7"", ""/tmp/geco2_baseline_8ra32dq9/test_12_PlFa.seq""]",0,1797343,1797343,1797343,False,3248832.0,1.8075748479839406,406104,1.8075748479839406,3.465886951016728,518580.9651041112,518580.9651041112,518580.9651041112,1797343,449336,481258,473089,444496,test
HePy,HePy,geco2_paper_modes,4,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""4"", ""/tmp/geco2_baseline_7uofxzqx/test_13_HePy.seq""]",0,333565,333565,333565,False,615568.0,1.8454214321046873,76946,1.8454214321046873,0.4564387240097858,730799.0809141963,730799.0809141963,730799.0809141963,333565,83392,91576,88787,85564,test
AeCa,AeCa,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_604lzj4g/test_14_AeCa.seq""]",0,318211,318211,318211,False,606304.0,1.9053521091351335,75788,1.9053521091351335,0.5200132830068469,611928.599515813,611928.599515813,611928.599515813,318211,79553,89325,85401,83968,test
HaHi,HaHi,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_n72boh_w/test_15_HaHi.seq""]",0,778001,778001,778001,False,1480544.0,1.9030104074416356,185068,1.9030104074416356,0.7271839099994395,1069882.033006753,1069882.033006753,1069882.033006753,778001,194501,218042,208574,203068,test
AnCa,AnCa,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_upndhb_b/test_16_AnCa.seq""]",0,28437935,28437935,28437935,False,47405944.0,1.6669967070393825,5925743,1.6669967070393825,10.747870527993655,2645913.4324265644,2645913.4324265644,2645913.4324265644,28437935,7109484,7754300,7467161,6251544,test
WaMe,WaMe,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_k6e3h99o/test_17_WaMe.seq""]",0,1828887,1828887,1828887,False,3524568.0,1.927165538384821,440571,1.927165538384821,1.094467570015695,1671028.9551784282,1671028.9551784282,1671028.9551784282,1828887,457222,515187,495482,479256,test
