split,species,source_name,source_order,sample_bytes,model_bits_per_base,model_compressed_bytes,model_compression_seconds,model_bases_per_second,geco2_split_bits_per_base,geco2_split_compressed_bytes,geco2_split_seconds,geco2_split_bases_per_second,paper_total_bits_per_base,paper_total_compressed_bytes,paper_total_geco2_level,model_vs_geco2_split_delta_bpb,model_vs_geco2_split_percent,model_vs_paper_total_percent
test,GaGa,GaGa,1,60000,1.8109333333333333,13582,0.41019095480442047,146273.3375693476,1.8108459910739954,6724228,29.69581701399875,1000358.400174551,1.8246629113531365,33877671,11,8.734225933793027e-05,100.00482328479443,99.24755537396102
test,AnCa,AnCa,2,60000,1.578,11835,0.39238370954990387,152911.54688563626,1.6669967070393825,5925743,10.747870527993655,2645913.4324265644,,,,-0.08899670703938245,94.66125477851469,
test,DaRe,DaRe,3,60000,1.6978666666666666,12734,0.4092260003089905,146618.24995160708,1.5032016292810264,2351196,13.154905149014667,951204.4258971532,1.469040559724907,11488819,10,0.19466503738564023,112.9500283657055,115.57656835455991
test,OrSa,OrSa,4,60000,1.8429333333333333,13822,0.4003910645842552,149853.4940141604,1.7523237776431475,1895249,9.705336028011516,891520.4970778095,1.5988975955008449,8646543,10,0.0906095556901858,105.17082270104527,115.26274969198673
test,DrMe,DrMe,5,60000,1.8796,14097,0.421937957406044,142201.0012298091,1.8960981696434607,1525479,7.856882160005625,819190.9804582575,1.8597292245785606,7481093,10,-0.016498169643460736,99.12988842520939,101.06847680612978
test,EnIn,EnIn,6,60000,1.8658666666666666,13994,0.3995072469115257,150185.0103191933,1.7617650055353369,1162901,6.666002901998581,792171.5723251157,1.5667528573458096,5170889,9,0.10410166113132968,105.90894136302231,119.09132049247238
test,ScPo,ScPo,7,60000,1.9102666666666666,14327,0.4075886905193329,147207.22482154853,1.8645166165907274,496528,3.6828264860087074,578477.1582624495,1.8917959793112287,2518963,8,0.04575005007593913,102.45372176728536,100.97635725825798
test,WaMe,WaMe,8,60000,1.9218666666666666,14414,0.3956550061702728,151647.26608862518,1.927165538384821,440571,1.094467570015695,1671028.9551784282,,,,-0.005298871718154352,99.72504325069058,
test,PlFa,PlFa,9,60000,1.77,13275,0.4071017727255821,147383.29336739247,1.8075748479839406,406104,3.465886951016728,518580.9651041112,1.7142874946921633,1925726,7,-0.03757484798394062,97.92125631611609,103.24989276771461
test,EsCo,EsCo,10,60000,1.8825333333333334,14119,0.4084557518362999,146894.73640720497,1.9015975982704445,220664,0.7765087230072822,1195519.087544486,1.893381063466197,1098552,6,-0.01906426493711111,98.9974606113065,99.42707095036619
test,HaHi,HaHi,11,60000,1.916,14370,0.40753695368766785,147225.91278430025,1.9030104074416356,185068,0.7271839099994395,1069882.033006753,1.8567194643708684,902831,5,0.012989592558364293,100.68258126742602,103.19275672855717
test,HePy,HePy,12,60000,1.8289333333333333,13717,0.41129565238952637,145880.46251258624,1.8454214321046873,76946,0.4564387240097858,730799.0809141963,1.801057065339589,375481,4,-0.016488098771354043,99.10654019268924,101.54777261255119
test,AeCa,AeCa,13,60000,1.8842666666666668,14132,0.42681875824928284,140574.89002148563,1.9053521091351335,75788,0.5200132830068469,611928.599515813,1.9112673462602345,380115,5,-0.021085442468466775,98.89335717175983,98.58728923264451
test,YeMi,YeMi,14,14739,1.7944229594952168,3306,0.10402823984622955,141682.68175820922,1.8579279462650111,3423,0.05844123201677576,252202.07533901953,1.8236643189621247,16798,3,-0.06350498676979432,96.58194566170026,98.39656020228824
test,AgPh,AgPh,15,8794,1.931316806913805,2123,0.060816481709480286,144598.9599005225,2.005003411416875,2204,0.034137990995077416,257601.56774509858,1.94823743461451,10708,2,-0.07368660450307019,96.32486388384756,99.13149047441165
test,BuEb,BuEb,16,3788,1.955649419218585,926,0.03570348024368286,106096.09971202243,2.0527983104540657,972,0.02759316097944975,137280.39360264473,1.9793030623020063,4686,1,-0.09714889123548076,95.26748971193413,98.80495091762698
